HashOwner,HashApp,HashFunction,Average,Count,Minimum,Maximum,percentile_Average_0,percentile_Average_1,percentile_Average_25,percentile_Average_50,percentile_Average_75,percentile_Average_99,percentile_Average_100
f5a7902d59fdbfaca782efd7a882c15d3925419101fb07bf49c99ad86d2f644d,bbf513bab01199640dfe698d8ab2f3a01b7d232607a8807268d160cada994a83,3deccf591ed9af1edf24eb76dd5552609ec78294f9d2cd1c325b8360fa5b929a,0,1440,0.0,31.0,0,0,0,0,0,1,31
7f614cec3b2d072536551276f9d1a705bec1adffb0e7926c288fbe92be9fb70a,8eac125d92f5fd1b0f670de3958acba685e23444092a23229e580056efcfdc22,1300914ae3947528640096f863cfa01e924adb659f39282826742dc8ba0f81f4,2,100955,0.0,7156.0,0,0,1,2,3,15,2593
7f614cec3b2d072536551276f9d1a705bec1adffb0e7926c288fbe92be9fb70a,8eac125d92f5fd1b0f670de3958acba685e23444092a23229e580056efcfdc22,c24b97d60955591af268c8a813bae661716f7e068d79eefae7af0cb99d4ba638,22,1510,0.0,2626.0,0,0,7,15,16,126,2626
db2246c53193ec8861a89ef3239ec49f554edb208b7951bcb6d6995b46063541,6d9308341cf0d4cdd87888882431c9461579388678081d76333d093a637cbea8,030c7834dc16dd527f6795df18bd2627b6d790259ef5be5315f2a6fb089aae03,1313,360,328.0,23807.0,456,644,644,1035,1222,15188,23003
49f48118dcc80441405aa23fa71bc87a394118613fec1aee9be06c9c2e4cedc7,1fc76286b1a8ba834a8bf55487e63b6df63415af31bc0dc5b3f548f083d69c15,0647cc101fa8812ba647916fc41def8edc8d6b97bd02d712b08d7ffbdee2ab5c,641,479,403.0,3549.0,403,431,514,557,649,1911,3549
9600d8ea0d18856a6f1fa5672306ef55afac8b5e32e956579ab0f1a8c347bf4b,b58fc0a0f39c45c5f49fbb0239646598f5ebf2514eb4adc08c2ae02d362c22bf,37b5b44a20f118f26bafcfe8905236218dbb23c4c0dea3988b0122966dcdc2ef,10018,288,10000.0,10874.0,10000,10000,10005,10010,10015,10344,10874
6d0a9b8a24031806c0beaa667be6d6f1f85faf80662cabdd9ab82a9ab14052fd,d260d4260c7510f05a5f9c069fb1307d36514e10e82fe68ecfa2b9936d8ca037,e816ddcda2bd7c64abbffd2ba6e9fd378af9cfb56c3ca5c47ff7f56c38cfc51e,157,144,1.0,1109.0,1,1,2,8,50,1084,1109
05adaa46797bfe5f970486cea2a55eda78fd8c4fbf1021b9956cf2a34af24dd2,23f5e3fcc27b2c1149d4183de5a550341b9b6dc5fd7dcc555bf56529193aa08f,26461cc67bcc53f806336819a28e8550420c3da81ae56a96f72d5dbe2c3ef8de,1175,8195,122.0,100250.0,122,194,237,369,985,12423,100196
59decc17f38583023c04eb1ec09cb00ab20435c445562da332d414661f6936f0,d7d911d5868e3f500ebdd82359100e095dd274968011012471a3a4470fbc77a9,431e46217d86a0bd522635651bff74a889fb806fae83c03dce6a3ec764de7ce7,810,26,14.0,3687.0,14,14,199,791,1151,2280,2280
ce37393cbcb17df1f63cad0fcaab6031cf31d62f3ecb465f251844e742982c7b,c99a45b81073f54424a9dfcb19dc41ed621e986fecbd6d176167e001ddba4029,d0cab6ea2288c490d7bf08607e3788ffd565dd842b54c20e07185ab2027b1f37,145,288,0.0,1355.0,0,0,2,2,9,1017,1355
6b07181dcb468e392c3e0b3bc6ceb98ce05e7b6c864767a3cde5fc0d5dd8d42a,220878f703c509919d74c27817cd2ee736970e4bbe399f6b934a075cbbce6e11,d9decba06077a595c32ec1f5c438dd2e0709dafad1c80b55931dd55369a6ed17,305,96,189.0,687.0,189,189,250,281,328,687,687
4124f3eb831bb183926ef0d6e3d3102b65e4faf52a2df8454f5423f2a1c258d8,73ea11ee989a5eebd41fbfa28533dfdd46c7ce36f8a775b00654695dc9334f97,fa728af7f63a3f29aeec64e6828269140183292ebd1b303d686011d1d203c49a,3804,14361,428.0,344189.0,837,1019,1572,2069,3011,39617,324085
ab7afd7b4089648053a27af9ccc9f1e9a2a7c44a74afb6f1fe7424173a39b877,932690f14feac9e8b43fc8b312b5d3372648e6fad3bb1de028eaec89cb7306ff,a0275e236c9e8b77d9214a5385f3fba0fd4e10e644c0b15d0cff9951af39c0b0,504,288,107.0,9185.0,107,112,144,173,712,3557,9185
a503a70be4b0a3c60eefb64e763be527e5bc812db830b1c165aa73fb29be551e,064a08f4586a62b539042e08348c6ab5d316b51fa5cdc63710490b1e3772c99a,0b457d358285ce6a2337cf4c69d227e8c1e0d6925782c0dc1d876fdef7bf1e06,722,242132,0.0,600954.0,0,14,32,52,65,1683,600954
188aa0effba52f3801b7ae0331267195e144dc4304c0ab33693bf4690b8bb790,786aab6a114579a1d20a7d3c43f67959f17fe480461c36818a8e52c4dccafd77,2b373145c4fa2c3447bb2a19be20d14120b76238b61c9eb9ac92f86821da3e6a,79,20923734,36.0,21476.0,66,70,74,77,82,119,17383
d3e5db78b140d32ec5c5f9b9016cceeb8b542e57603cecfba1f17a8f43f75148,c76e41c33007624f0cacd772f3dbdb36ff07786f2546e7cad1cdfd5f2c8e9fba,9554c1f9f3b8201f6708859a7a0d07baa006ef64d8170122c25b19d8a61d1c1b,45,144,31.0,237.0,31,32,37,40,45,155,237
c40cf61ce1a5e4ec701561bf40d01cf196f799081033aaa11d5db78182d523b2,c5d9777ca2b802b1309cd973030fea192b09513a984eb080edb9142df72e4907,eeae0f2d85a1024ac6e5dd82cddc5aea4ec62e2fc99d746bad97226e0ce30e37,591,13085,203.0,100285.0,204,209,279,304,337,5376,83386
e2c2a2f69670c58cda8ae4ba999db6ba7fe5fdf0e59f284bd4f6566bb97b554e,95bfa6131673631239175254aaf8fd5e8a2e897a3398d66ad07016a2955a6f28,cc8548771d54daf7390faa3305c930e8b035500b8497d265519b785fcafe80f7,60314,1419,60130.0,70060.0,60130,60147,60210,60248,60299,61171,70060
05adaa46797bfe5f970486cea2a55eda78fd8c4fbf1021b9956cf2a34af24dd2,abd34a56f9444d1b5e540d8721e3473777bb0e36ff95d2ee1e1f1da3b01e7a46,93fcc07bc6da5ef4098cc831d32318c240ca8b41cabe2e230f458d072940f1ce,42,2707,34.0,209.0,34,34,36,38,40,93,209
f1d0690e56defbe667cb0b2f548289415d830e0316956a7e8b150e1b75e13256,6d1c13f75991e9ccb6bc5d5a4247776f2f8af54ee25011b8e0d62660117cba31,50343ff9a547748760e8981e64bea84cc657dd66c013ea4a869f84d1e8493dd3,1169,7237,273.0,63610.0,273,328,610,796,890,17670,63610
f4d40f8b2840cab29e37e27533832a01698ca3002f23263522327a811a146787,edd280723bc52efc7fe976cffe296ce20b23ccd4b03f048dc1ba624222fe7085,b144ae4f01d55c663b94e379d8d5da768ae9c13cf3b4f18a1097a84a056f5d8e,1187,247,36.0,8694.0,45,47,110,303,862,7470,8694
db22e1c99cfe135f26f5c83c6a538232e41f139d6742fc8249bcecb29763c7fb,34667c2294a48c5bea922e915da358b1837202ad4e7663f3b5cf7bdf37ac18f0,6a7715e5d15146811c3d046270dfde157ab3c4c895c2312f2cd43e3cef23ecb5,25,1616,9.0,1449.0,9,14,15,17,31,78,1449
e01302c7d542427ce06b3634ad526caec84efeb6229da187bdacb76fe8c0cca9,33fe3deb029c50d55a33489059339356df43b5078d2ea955572022b644c9caaa,2c5d363481a100391a50d5397fece786de8d4b86fc02c8880a78bcfa7b297139,0,666023,0.0,205.0,0,0,0,0,0,1,20
e333879ea4145125a9e4fd3e202af49410d8fe81983d637eefbc8d0b8d722171,858120e91da58c267679183c8c2b0b65b54839a36318304f594109485da05d73,3087576c57aaf083cab78f15461f8efce6607c2facd3e54f425072a3b2506708,138,288,1.0,1457.0,1,1,1,2,8,974,1457
bd80116a680283c92364a00dbcce89b92b8cb8543a39e2f958b339cb2f850f6b,f7339562a59677cd37ca76eac05727dda2c1f98544090734f15fcfe739ef7373,a0901ff352a970f6a1d00c18c34ca684ece686b41f610363ce0df06c6cf32779,22,10831,0.0,3115.0,0,0,14,15,19,158,2516
fca2310ccf911080b19d6e90e80e63e4afdecb3ead06a09bbb3832558ec368f3,f3676eb37576dc5aeaacce9267aa0fc4360ec1e437cf2404a638c57dee55d89a,9ae854de13d40bb9082cfcc9cf9d5832431b5a532ec3d6f56a7705efaa58e8d9,1028,1440,46.0,33013.0,46,46,62,93,1010,8912,33013
fca2310ccf911080b19d6e90e80e63e4afdecb3ead06a09bbb3832558ec368f3,f3676eb37576dc5aeaacce9267aa0fc4360ec1e437cf2404a638c57dee55d89a,b955bfdae9af0e6fe692114ca21cccbb0219a373368db3aad3a5e5300f3527b3,668,288,50.0,11373.0,50,78,140,468,1094,4794,11373
401967fae848ecb40803d5ed633f1f5ccce304bc1d0aa35274b03315263472d1,20aa3b6d0c23760fb28268e20f9fbafb5c60fb502bd221bdf8a87d51faed9fbd,2d5a65002d4794fe339d7b4f72bea12562adc8d2b0759829af83f1e4575a33c1,12,288,1.0,1002.0,1,1,2,2,6,704,1002
c8e6172971ead769affdf91f0d1229345e7c8333f9d5625025eded99a7d5af54,80fe3c48a2705ef64835a01d242375b34890008c7040bcdf4c655d7f4afde5ec,8b7803fadd4270249448470c0fd9609180dec47bc5f46bcc477558b27d1496ca,349,1721,51.0,9841.0,51,68,165,252,374,1718,9841
8e9eb768a16ddf62d8ab3165102eeff55b593b635fc5f8443bd6a9bdec9e6423,665e3f0f1978955ec23a8dc513333e2f38de76af2c062a8aaaa1c84f5baeec44,45f8b2c7141d6fe1b0b9a3c13d5d17c6a176f4fcb17e4b28428d9a15f54e1d73,34,479,0.0,484.0,0,0,17,29,33,390,484
6bd08649c733f129703e8370a27b3a8cc0fb402c400ea745fbf3e8af79d6beff,eabe82bd3c7a8c623fac14bd25f0b24c68d0fe0dfff3d784490a4bbcbc10c06c,bb7de580d5aca4317f395fd9d38ffa5527c65824fd77c9dc02b9c8b2a931e2c2,4,7475,2.0,218.0,2,2,3,3,5,16,176
c91e30a843dfce0beadf2b658d0dee6f346b8c7d97eeb01b15a710e16dca41d9,07457ad647bcb99507cd7e558946aaba4579a8054421e0623f6872a9e32182e5,e85a8260e660d9b5c19360f58d9c6fa99f95d13f9ea82e43ef1017b20fae1699,583,288,13.0,4509.0,13,21,53,104,962,3560,4509
4a8c839c302c9e4c597dfa52c8ef8db10d082dda343c7792e9b24b3649c029bd,f0e069c2ee97e2e26804686df4dae2e58ffaf5050ca4c84cd55fadeae95429d5,5c598d0743ce77f43d6924465a037e230c59102c6e3764bc08b928fec26d4bcb,1862,288,716.0,3464.0,716,751,1451,1808,2214,3331,3464
6857b3653e75a92d29ceea0bd26abb377c952a363020db543c55e3f6918bc642,6df4bbbf38a053100674eb808a664849de801de09e2bdecef9e84c290a45f56d,fcb999e4b9d8f5487e87f9642cab2bc35adbb0337a949e04ad4e5fd04990c836,0,288,0.0,0.0,0,0,0,0,0,0,0
1e5f2b93256d76bafd67be173abf7aad87a405927a7bdfedd05c17b95e3375a8,835a41a01d9790393487097b456e1efc14f1af9f0dc51272728beaab4503a07e,2a2de38db4cc19a5fce3ea9ce392ba985fd9dce865a7d439c7bfa503f9b9bb90,0,288,0.0,17.0,0,0,0,0,0,0,17
7de14eba279e5ddfc23f5bc821f8c7dd33f3f62ec7770bdd1657d6dbdd3ee7ad,bff137627deecdf7e3f1042ca271031e2ce225ca77ee7483c820e9848876d75c,465ea51baa9ff6f0faf92b813386d1777ebbe209cafbd8c28048961027a9b751,170,288,1.0,1379.0,1,1,3,6,30,1003,1379
f4d40f8b2840cab29e37e27533832a01698ca3002f23263522327a811a146787,b378fe056243fd20751392e1fec64afb60363181c39e9fba8b5bbf5338f50e97,ff5d58b47826586acaa717eca61bd7374b3e6315354f889475e8561f73aa542d,227,117,36.0,935.0,43,47,128,169,350,595,935
0ccac89bb8eb234e700e4f8fc6d8b5c44d4617cb2ad3a74a00ef826a31492810,84a2bc60916e30fca2f93230d86950f35e47afb7d4f2ed5ab1aebab8d4c70376,2a129f6b1b910b41f8740787e910c626dfb95f958f05350fdc85ac17e4caf1f7,135,288,1.0,1069.0,1,1,3,4,16,964,1069
e2c2a2f69670c58cda8ae4ba999db6ba7fe5fdf0e59f284bd4f6566bb97b554e,f0093af8adf6693fbcb5bd2babeae3bac60f68fc64dc64083e6a493edd1e3aa4,a913aab54309a2f2afc3ff38da4887e30aa6943d8c547c050f0bac6552572a1c,1176,4281,492.0,60502.0,495,530,632,702,923,4793,60502
05adaa46797bfe5f970486cea2a55eda78fd8c4fbf1021b9956cf2a34af24dd2,cd0d1a373fd6c5e5d53b2b3fcefd36d0196548876898478acc23264e3a2e8ac8,895055b45a9bfdb3787f9cc9580adb14ba3c5541071f69f2a9be53af584e4067,112,12351,0.0,36315.0,0,0,9,74,153,659,5997
ed6e0fa3dadcbec608cd7b17d4040151bc9ce5cf5e611f07028500ca8f3f226e,117b400fbf5ce2d8334fad6a401fd11168e26203dd018b2b5366304294c30b22,ffaf7176256a78bc19a93825d8662352813366f4ecc469fa8196e5fca63bf186,5,17283,0.0,4046.0,0,0,0,2,4,75,1094
169ea6ecbe36264547d38c14240e6ab72cbfaa6ac4dfaf2205b61bef22996d91,e0903e2b0872f3b6fc6b0a917ce89fcd0daf7bd36b76c3b787c7a8e24ecca0b1,d7ebd32639747ff5ef5a17af95380f3f9d4b4c985d00b820f3be556cbe282032,134,665,14.0,870.0,14,46,93,124,157,374,870
fd1914a1d6dae0e26f1bcd86f1220a9533ea6d1be9df9a03ec39efee9a61c314,2f6ad0a25dcd1b7023e5fe724ab0c44623936003e3c17efe7bf9a2f3508adf33,48d40843ca79028c4f89acaddc279f9aa5101b46ab5df713e831557c571cdfa7,2700,144,2147.0,6095.0,2147,2174,2358,2433,2950,5493,6095
98f3fe1d01789fc2d8ab1dc9cd9a31d51fcbf1936e36a47526280c95ec0cd944,f6535fa62237b9163443effa8e911b25eff89b198d601b4989b6c72087592dab,97ea941c59141a5b0c72b46bb2d0e7857ba485eb8710e9cd38b1e10388935077,835,1440,493.0,11551.0,493,546,640,703,798,3879,11551
