timestamp,function,cpu
0,0,0.31700000000000006
1,0,0.9787107840768436
2,0,0.3902892159231528
3,0,0.4072835831514543
4,0,0.9163081208197088
5,0,0.34222675644803946
6,0,1.7332919515869891
7,0,1.1700000000000061
8,0,1.6029999999999927
9,0,1.577300886695724
10,0,1.51121492331772
11,0,3.151023711881747
12,0,0.8153500660985937
13,0,0.47952047770258055
14,0,1.5038095428766738
15,0,2.3926571207266676
16,0,1.52001285869407
17,0,0.13896809159905388
18,0,0.2300319084009672
19,0,0.813000000000013
20,0,0.8447281634847599
21,0,1.9492661350680187
22,0,2.174415385717939
23,0,2.3060000000000187
24,0,2.159391201742345
25,0,0.9291991139870284
26,0,0.572332734401602
27,0,0.46659681272370435
28,0,0.7530704528747272
29,0,0.4170000000000229
30,0,1.0861548219396298
31,0,2.2925332178807665
32,0,2.8375402689001135
33,0,1.4672224143203536
34,0,1.2405492769590722
35,0,0.9430994511419755
36,0,0.9652812243279527
37,0,0.9753246868116676
38,0,1.2322946377183115
39,0,0.25399999999997647
40,0,0.10999999999997101
41,0,0.5518652190393283
42,0,1.0571347809605953
43,0,0.5779999999999674
44,0,1.048695452551648
45,0,0.4312962964807099
46,0,0.9944328922936378
47,0,1.7473783920132746
48,0,2.0056216079866616
49,0,0.9826641854941371
50,0,1.1357964699066017
51,0,1.7929534116317782
52,0,0.597470885929063
53,0,1.0506904057121886
54,0,0.8967635174170496
55,0,0.7985245812887385
56,0,1.715711901294135
57,0,1.105193985754056
58,0,2.014439232597333
59,0,2.3524560205266596
60,0,1.5259107611218354
61,0,0.6824369468116203
62,0,0.8815630531883158
63,0,1.474912245260846
64,0,1.8200000000000642
65,0,1.8670000000000613
66,0,0.7077446690132376
67,0,0.7113430857260141
68,0,0.682000000000059
69,0,1.5450066125904698
70,0,1.833373667202622
71,0,2.3051024437006618
72,0,0.7732812713005899
73,0,0.62277321862328
74,0,0.5344627865827221
75,0,0.48095380995921744
76,0,1.1691201208626438
77,0,1.6700000000000585
78,0,1.6639260691783022
79,0,0.3900225986708392
80,0,0.771977401329309
81,0,0.8957719650114342
82,0,0.6222258900432251
83,0,1.5000000000000568
84,0,2.2234759846886334
85,0,1.9905196415482749
86,0,0.6586532012705675
87,0,1.0673533174382897
88,0,1.038762612993608
89,0,0.5162373870065551
90,0,0.8443155378289617
91,0,0.8081244736256394
92,0,1.182622554325377
93,0,2.451046571480731
94,0,0.9140174763274729
95,0,1.0517333143793621
