function,rmse,mean_y
0.0,0.00010530298150858266,0.0
1.0,0.0010184580221719562,0.0
2.0,0.04291351537739089,0.003763333333333018
3.0,0.3225783207328018,0.0971100000000024
4.0,6.177333365583428e-05,3.3333333340124225e-06
6.0,0.003168894378400911,0.0
8.0,0.0015395839667521362,0.00011333333333520083
10.0,0.020771953328083622,0.0012199999999999516
11.0,0.00017791726973534459,0.0
12.0,0.20286672417398383,0.07403666666666747
13.0,0.021050605269206348,0.0015333333333334546
15.0,0.45859381813798417,0.2452203757601698
16.0,0.0012129410181975571,6.999999999910263e-05
17.0,0.11257906974248562,0.020886666666665405
18.0,1.7542942294217568e-05,0.0
19.0,1.7631900432000647e-05,0.0
20.0,0.004962072589569322,0.0
21.0,1.759019339033902e-05,0.0
22.0,0.3191573301064421,0.04275666666666742
24.0,0.0001967835125179109,6.666666668024845e-06
25.0,0.010968037394720853,0.0006333333333319994
26.0,0.048404732061466595,0.00288666666666965
27.0,1.7559042847112007e-05,0.0
29.0,0.05884253626321444,0.004373333333332994
30.0,0.11387334055666244,0.014020000000000437
32.0,0.02572984069243264,0.0016400000000006305
33.0,0.00037088125496452843,0.0
37.0,1.7542942294217568e-05,0.0
38.0,0.0008662504692349334,5.0000000001091394e-05
40.0,0.014552285463743877,0.0010133333333336243
41.0,5.953689583160218e-05,3.3333333340124225e-06
42.0,0.0297304980306527,0.0021033333333343764
43.0,0.002465128700207831,0.00012000000000019402
44.0,1.7542942294217568e-05,0.0
45.0,0.3477317459018693,0.3440211909274785
46.0,0.006484538771433325,0.0006833333333361224
47.0,0.6992945357627951,1.1835512204372631
48.0,0.17050741382493667,0.14004333333333308
50.0,0.00011590015863114331,6.666666668024845e-06
51.0,0.2860974833400045,0.1099430993425176
53.0,0.15503893783985548,0.2
54.0,0.00024005380882808193,1.6666666667030465e-05
55.0,0.006201419868834514,0.0
56.0,0.20716357965841933,0.15832999999999933
59.0,0.000517175641967284,9.333333334022124e-05
62.0,0.012721297785616722,0.0
64.0,0.0007274245379190836,0.0
67.0,0.09603295932827774,0.013046666666668897
68.0,0.1385352348193865,0.2
69.0,0.004465473163183498,0.0
70.0,0.11928975062051644,0.023706666666669964
71.0,0.01059811900181359,0.0
72.0,0.009425250671962758,0.0037266666666679765
74.0,0.0002529197191188833,2.333333333505531e-05
75.0,0.011605444430524926,0.0006700000000000728
77.0,0.21363879437503966,0.03463666666666541
78.0,1.7542942294217568e-05,0.0
79.0,1.7543102977068334e-05,0.0
80.0,0.022247689237773965,0.0018066666666679036
81.0,0.0001328293507745265,0.0
82.0,0.09819003777118655,0.010766666666665212
83.0,1.754918281173557e-05,0.0
85.0,0.029788402143773797,0.0
86.0,0.002353807352475354,0.0
87.0,6.1004028228139126e-05,3.3333333340124225e-06
88.0,0.02149158656955884,0.0
90.0,0.0017318297551742847,0.0
91.0,0.002617947664775384,0.00032666666667258447
92.0,1.751811913159049e-05,0.0
94.0,0.0003241730237493636,0.0
95.0,0.004792658446607974,3.3333333340124225e-06
97.0,0.01975882740667957,0.0011399999999988117
98.0,0.1311160124608651,0.2
99.0,0.04215371349102382,0.0
100.0,0.08925950015331124,0.011453333333335347
101.0,1.7542942294217568e-05,0.0
102.0,1.7554939056530488e-05,0.0
103.0,0.004054937019562193,0.0003166666666675155
105.0,0.008927178547392702,0.0
106.0,0.0057539497386696215,0.0
107.0,0.011563312457170146,0.001750000000001819
108.0,0.00012110504087555336,0.0
109.0,0.02780464961671268,0.0058766666666694315
110.0,0.0044883774753514795,0.00033000000000356523
112.0,0.012201908592122604,0.0
115.0,0.0032645116658484895,2.000000000104289e-05
116.0,0.0031340415840755273,0.00024999999999939367
117.0,0.0077118171594197996,0.0007933333333342792
118.0,0.08546444393193914,0.008470000000000559
119.0,0.006104579415608068,0.0
120.0,0.08012228821522331,0.006876666666667006
121.0,0.2017824937649816,0.046533333333333454
122.0,0.0020039628171546774,0.0002300000000044141
123.0,0.00038528021279930384,0.0
124.0,0.00698403458146159,0.0008133333333322904
125.0,0.007897733158051841,0.0
127.0,0.0021386545676075983,0.0
128.0,3.0433220827522183,3.2755011642600067
130.0,0.014485008135162772,0.0
131.0,0.005368489478969894,0.0003099999999994907
132.0,0.11020105264452963,0.03333333333333333
133.0,0.004849059136499282,0.0
134.0,0.014028056853706323,0.0008100000000013097
135.0,0.010163104060561291,0.0005866666666679521
136.0,0.06484711092458313,0.007043333333328216
137.0,0.0013271273256398844,7.666666666712748e-05
138.0,0.0004928621024116575,3.6666666665041704e-05
139.0,0.010159884641502644,0.0005866666666679521
140.0,8.178581879279544e-05,6.666666668024845e-06
141.0,0.18427772742201357,0.10670119719958772
142.0,0.0024256440992634653,0.0001400000000012369
143.0,1.7557833903214112e-05,0.0
144.0,0.00023728494108003165,1.6666666667030465e-05
145.0,0.006952114970516196,0.0005633333333328968
146.0,0.06170115933659089,0.005889999999999418
147.0,0.01667612743392605,0.0012966666666670789
148.0,1.7547798720960475e-05,0.0
149.0,0.014630466389509348,0.0008766666666663998
151.0,0.0005470456029997884,0.00021666666671080748
152.0,0.014661251387151757,0.0
153.0,0.12567885492251168,0.0065113419304725535
154.0,0.00519792634022784,0.00030000000000048505
157.0,0.14438975481949384,0.026566666666667516
158.0,0.04455437541315806,0.00538666666666965
161.0,0.006305981516793417,0.000166666666667273
162.0,0.02747919214010778,0.0017499999999987872
163.0,0.006153535483553892,0.0009600000000015522
165.0,0.08872940193663872,0.03171666666667079
166.0,0.6135874864635077,0.9523433330243187
168.0,6.0777038987678596e-05,3.3333333340124225e-06
169.0,0.17049076433799581,0.03735000000000279
170.0,0.1233605461874902,0.2
171.0,1.7552303058140138e-05,0.0
172.0,2.3651921393830175,4.100602258550925
173.0,0.7392352632213104,0.5472100000000015
174.0,0.17874793762684188,0.07785000000000157
176.0,0.10813527277027604,0.1416166666666868
177.0,0.002714313112998256,0.00015666666666523573
179.0,0.09936491986542643,0.023096666666666956
181.0,0.0768722457857996,0.009169999999997647
182.0,0.0008398488779887418,0.0
183.0,0.08103982676581196,0.008793333333336099
184.0,0.00011828137250704352,1.333333333604969e-05
185.0,0.003036871736651464,0.0
187.0,0.2360180489435072,0.08957000000000032
188.0,0.004608653572341462,0.0
189.0,0.011143011968347483,0.0011966666666709594
190.0,0.12279453314403149,0.020715887284256194
191.0,0.10420045457622502,0.011323333333333114
192.0,0.00023229979817447142,1.3333333333018042e-05
193.0,0.1081229785646752,0.025016666666654905
194.0,1.7542942294217568e-05,0.0
195.0,0.011026002221296738,0.002150000000004487
196.0,0.0020127693565009613,0.0
197.0,0.021965006387233175,0.0016066666666665697
198.0,1.122886753714005,2.803888275509917
199.0,0.056549707576530696,0.004446666666666109
200.0,0.3438503997816548,0.06736333333332671
201.0,6.166778722275021e-05,3.3333333340124225e-06
202.0,0.11031703336445348,0.007043333333331248
205.0,0.004170883895776501,0.00030000000000048505
206.0,6.109342133139822e-05,0.0
208.0,9.646848132490525e-05,0.0
210.0,2.5046000264433097,3.5001166666666994
211.0,0.0070176197375933745,0.0
212.0,5.946746584450172e-05,3.3333333340124225e-06
213.0,0.005988690520730381,0.0
214.0,0.025923410122692444,0.0014966666666653813
215.0,1.753626039396891e-05,0.0
216.0,1.7542942294217568e-05,0.0
217.0,0.030105475735178275,0.0036799999999978655
219.0,0.00011850286232371928,6.666666668024845e-06
220.0,1.754792650883067e-05,0.0
221.0,0.03283104641203861,0.006166666666667879
222.0,0.08541965832382548,0.006723333333332751
223.0,0.07295577168458409,0.007536666666668073
225.0,1.7542942294217568e-05,0.0
226.0,0.018794062931861828,0.0022166666666665453
227.0,0.003866767278331884,0.0002233333333333576
228.0,5.881499262340356e-05,3.3333333340124225e-06
229.0,0.0010623764843239853,0.0
230.0,0.15354272050585,0.09663999999999456
231.0,0.0016372064876174995,0.0
232.0,0.05540126041880986,0.0036800000000008974
233.0,1.3981844105313976,5.938215396775282
234.0,0.0048416870407894065,0.0
236.0,0.004908919914635588,0.0002833333333334546
237.0,0.00960012377421479,0.0003999999999996362
238.0,0.003460169880616201,0.0
239.0,0.7296039901880016,0.8056068060317981
240.0,0.0010400789589857097,6.000000000009701e-05
242.0,0.007264258028545199,0.00026666666666642414
243.0,0.013654922844879664,0.0
244.0,0.008777472108573646,0.0005066666666668122
245.0,0.0008098830353963763,4.666666666707897e-05
246.0,1.7550171699255463e-05,0.0
247.0,0.17889315161321387,0.05713999999999639
248.0,1.7584601480156998e-05,0.0
249.0,0.031134126112792305,0.0063633333333382325
251.0,0.00017795182987915143,0.0
252.0,1.9370663997582665e-05,0.0
254.0,0.0012013863392932567,0.0
255.0,0.18446586970657963,0.0838199999999991
256.0,0.21559654510865464,0.225763333333216
258.0,1.759175076352336e-05,0.0
259.0,0.013972625043297448,0.0008066666666672973
260.0,1.7553820861527483e-05,0.0
261.0,1.7548267635122674e-05,0.0
262.0,0.036190164619572564,0.0013199999999991027
264.0,0.15962562931746035,0.031063333333334716
265.0,0.000576770873706123,3.333333333406093e-05
266.0,0.03202134765856929,0.0026366666666672246
267.0,0.005725067343314344,0.0005766666666628832
270.0,0.003355262410216505,0.0
271.0,0.04454897639199656,0.0034733333333345703
272.0,0.018541465445784364,0.0010600000000007034
273.0,0.00013392390607781056,0.0
274.0,0.05745190990152839,0.004373333333332994
276.0,0.017434764264268984,0.0024166666666891007
277.0,1.7542942294217568e-05,0.0
278.0,0.01493969537389046,0.0031966666666782355
279.0,0.002542146332632836,0.0001466666666662301
280.0,0.6882542408637002,1.2114183962392386
281.0,0.2884003368549559,0.7423812310701488
282.0,1.7542942294217568e-05,0.0
283.0,0.09337116849885556,0.010123333333334206
284.0,0.015906787565839096,0.0020499999999992725
285.0,0.013450706785294336,0.0007766666666672487
289.0,0.006813194133300895,0.0
290.0,0.01609980243219172,0.0
291.0,0.06360649843974481,0.004886666666667831
292.0,0.15772355629297255,0.026516666666666425
294.0,0.0021575611506442264,0.0
295.0,0.45957886405165954,0.20458333333333031
297.0,0.00980804020693173,0.0006600000000010672
298.0,0.10355791189891816,0.027950000000006792
299.0,0.029228295533980105,0.00321666666666412
300.0,0.004726708243860962,0.0
301.0,0.19087594423575005,0.16464333333333342
302.0,0.09352808586317254,0.009336666666667952
303.0,0.1574339928900242,0.03165333333333668
304.0,0.013207138310614996,0.0010033333333346187
306.0,0.36292626751673496,0.16687333333333298
307.0,1.7566500022754868e-05,0.0
308.0,0.057998152599527626,0.004440000000001116
309.0,0.02893263139623781,0.004389999999996993
310.0,1.7545258470858756e-05,0.0
311.0,1.7563592975228643e-05,0.0
312.0,0.10377630605527277,0.01092333333333348
313.0,0.007785978061816211,0.000633333333335031
