function,rmse,mean_y
0.0,0.0002951440326349154,0.0
1.0,0.0016002937022125516,9.000000000014533e-05
2.0,0.0025371597295644264,0.00010333333333316333
3.0,0.29084445858993313,0.0971100000000024
4.0,8.434235789018925e-05,3.333333334012333e-06
6.0,0.00011180949572077201,0.0
8.0,0.004461989498353441,0.00022000000000237598
10.0,0.02131679098879484,0.0012199999999999514
11.0,0.009373711659742899,0.0
12.0,0.2564050441042848,0.07403666666666747
13.0,0.023539622870616894,0.0015333333333334544
15.0,0.4063707447852158,0.20515999999999926
16.0,0.0012067193791277784,6.999999999910233e-05
17.0,0.13928183258690308,0.020886666666665405
20.0,0.0013469926701112124,0.0
21.0,0.03838484453921676,0.0022166666666665453
22.0,0.19233928632848799,0.04274666666666841
24.0,0.000747751694526626,6.666666668024666e-06
25.0,0.010954893939825587,0.0006333333333319993
26.0,0.04077816418454572,0.0028866666666696496
27.0,4.4849080258127926e-05,0.0
29.0,0.060774177682629285,0.004373333333332994
30.0,0.11631843753647492,0.014020000000000437
32.0,0.021782820734927193,0.0014566666666663267
33.0,0.0004858650361297192,0.0
38.0,0.000865712196228832,5.000000000109133e-05
40.0,0.017525824342005784,0.0010166666666676367
41.0,6.090155992523316e-05,3.333333334012333e-06
42.0,0.03626272692639062,0.0021033333333343764
43.0,0.002612256865892534,0.00018666666666831565
45.0,0.34891752932587794,0.34227130117630017
46.0,0.007903848594604499,0.0007800000000012606
47.0,0.6991369175957133,1.1849851108168725
48.0,0.3486415490229376,0.14004333333333308
50.0,0.00011848783343475967,6.666666668024666e-06
51.0,0.31882084418355394,0.13203333333334133
55.0,0.003309761746208731,0.0
56.0,0.3867335181192592,0.15832999999999933
59.0,0.0004250451231041316,8.000000000720166e-05
62.0,0.5903439325193238,0.0
64.0,0.002417103597283327,0.0
67.0,0.10467323352569059,0.013046666666668897
69.0,0.0009245839731107898,0.0
70.0,0.11564913100946665,0.019313333333335927
71.0,0.017584349053917238,0.0
72.0,0.008778976734476628,0.0036800000000008827
74.0,0.0003857916127153545,2.333333333505467e-05
75.0,0.011584541937428045,0.0006700000000000727
77.0,0.1772926990453897,0.03463666666666541
79.0,8.793937305515278e-07,0.0
80.0,0.031274305950220634,0.0018066666666679036
81.0,0.006616626095677464,0.0
82.0,0.10063662213296254,0.010766666666665212
83.0,7.386907336632835e-05,0.0
85.0,0.012924811227248157,0.0
86.0,0.001251458531740731,0.0
87.0,5.755049957516624e-05,3.333333334012333e-06
88.0,0.01561012712376168,0.0
90.0,0.005896757084765944,0.00027000000000043634
91.0,0.0021816364790787158,0.000280000000005505
92.0,0.0002770090251237313,0.0
94.0,0.027102468861717088,0.0008666666666673942
95.0,0.0007298537433388651,3.333333334012333e-06
97.0,0.0197133135386348,0.0011399999999988117
98.0,0.4136812122510521,0.2
99.0,0.09051156619999824,0.0
100.0,0.09946810798383227,0.011453333333335347
103.0,0.0040529382489788894,0.00031666666666751536
105.0,0.0011738482724213835,0.0
107.0,0.01025237224156519,0.001736666666668793
108.0,0.0030520299146633545,0.0
109.0,0.029095265624986485,0.006160000000002883
110.0,0.0009413349917614332,8.0000000004171e-05
112.0,0.0025950296594323026,0.0
115.0,0.00047520679008810376,2.000000000104267e-05
117.0,0.010123861395742964,0.0010900000000007512
119.0,0.0017110930015636204,0.0
120.0,0.08172356115129854,0.006876666666667006
121.0,0.171634961097196,0.037526666666666035
122.0,0.0016681920733009102,0.0001966666666703527
124.0,0.00754499570575002,0.0009099999999974288
125.0,0.01336145600673819,0.0
127.0,0.0014135291790408858,0.0
128.0,19.031331372573472,3.025354308343825
130.0,0.050827412405774375,0.0
131.0,0.005367833949236163,0.0003099999999994907
132.0,0.17945747351343902,0.03333333333333333
133.0,0.0010428716907334924,0.0
135.0,0.0036899046857608664,0.0
