function,rmse,mean_y
0.0,0.005877425175510442,0.0
1.0,0.005996817711755296,9.000000000014533e-05
2.0,0.010459613719291053,0.00010333333333316333
3.0,0.18873530542841277,0.0971100000000024
4.0,0.005874518472637405,3.333333334012333e-06
6.0,0.005877425175510442,0.0
8.0,0.018628506311927372,0.00022000000000237598
10.0,0.011483772369424822,0.0012199999999999514
11.0,0.012274138034302847,0.0
12.0,0.1782467609922569,0.07403666666666747
13.0,0.02405028941699205,0.0015333333333334544
15.0,0.1850882350969296,0.20515999999999926
16.0,0.005935215170332545,6.999999999910233e-05
17.0,0.05620932646893352,0.020886666666665405
20.0,0.007056723958143078,0.0
21.0,0.038518758894869956,0.0022166666666665453
22.0,0.1913416968024955,0.04274666666666841
24.0,0.0069929569492696644,6.666666668024666e-06
25.0,0.012155403699791938,0.0006333333333319993
26.0,0.04702124301000983,0.0028866666666696496
27.0,0.005877425175510442,0.0
29.0,0.05531486139379462,0.004373333333332994
30.0,0.138132141252455,0.014020000000000437
32.0,0.018380226614174607,0.0014566666666663267
33.0,0.006013229098821256,0.0
38.0,0.0058933636887902145,5.000000000109133e-05
40.0,0.012773721116930516,0.0010166666666676367
41.0,0.005874518472637405,3.333333334012333e-06
42.0,0.033363902701508324,0.0021033333333343764
43.0,0.006793682534013309,0.00018666666666831565
45.0,0.3576510805085891,0.34227130117630017
46.0,0.009421827059405183,0.0007800000000012606
47.0,0.7120867055281694,1.1849851108168725
48.0,0.16797389423896533,0.14004333333333308
50.0,0.00587217800680988,6.666666668024666e-06
51.0,0.31717307916755305,0.13203333333334133
55.0,0.009619345832131839,0.0
56.0,0.16718918540934413,0.15832999999999933
59.0,0.005821612291150911,8.000000000720166e-05
62.0,0.005877425175510442,0.0
64.0,0.008941393374699024,0.0
67.0,0.10297840040225725,0.013046666666668897
69.0,0.00724624040938952,0.0
70.0,0.12048215495862293,0.019313333333335927
71.0,0.024807963097540513,0.0
72.0,0.009223839815439892,0.0036800000000008827
74.0,0.005859017151606187,2.333333333505467e-05
75.0,0.01225442237162515,0.0006700000000000727
77.0,0.14049608207273592,0.03463666666666541
79.0,0.005877425175510442,0.0
