function,rmse,mean_y
0.0,0.003546788750463393,0.0
1.0,0.004431170397315019,9.000000000014533e-05
2.0,0.009683083494362886,0.00010333333333316333
3.0,0.31622041663569095,0.0971100000000024
4.0,0.0010898243599880286,3.333333334012333e-06
6.0,0.006322034696814639,0.0
8.0,0.01645458559608194,0.00022000000000237598
10.0,0.025014903388396244,0.0012199999999999514
11.0,0.016948171463457624,0.0
12.0,0.27021467055615406,0.07403666666666747
13.0,0.023628488310859837,0.0015333333333334544
15.0,0.4699701189835724,0.20515999999999926
16.0,0.0015613516558028626,6.999999999910233e-05
17.0,0.1328850939467546,0.020886666666665405
20.0,0.010123377784161008,0.0
21.0,0.03836728917445492,0.0022166666666665453
22.0,0.19495401358841744,0.04274666666666841
24.0,0.008984024113515128,6.666666668024666e-06
25.0,0.011227516586674266,0.0006333333333319993
26.0,0.08668815490176991,0.0028866666666696496
27.0,0.0008963890410202059,0.0
29.0,0.0654819641994772,0.004373333333332994
30.0,0.11491519321652997,0.014020000000000437
32.0,0.02632242112399841,0.0014566666666663267
33.0,0.005957006441830267,0.0
38.0,0.0011337780785458504,5.000000000109133e-05
40.0,0.01833698095136045,0.0010166666666676367
41.0,0.0007738346270160986,3.333333334012333e-06
42.0,0.03879071048775512,0.0021033333333343764
43.0,0.006283808837689243,0.00018666666666831565
45.0,0.46209486053439075,0.34227130117630017
46.0,0.008227547786041841,0.0007800000000012606
47.0,0.7834573410902668,1.1849851108168725
48.0,0.2680491692413238,0.14004333333333308
50.0,0.0007877911393621808,6.666666668024666e-06
51.0,0.3835406831807659,0.13203333333334133
55.0,0.013273082935929896,0.0
56.0,0.2508895584005023,0.15832999999999933
59.0,0.0008499197031020093,8.000000000720166e-05
62.0,0.22487386325525255,0.0
64.0,0.010919660781737457,0.0
67.0,0.10505911060297085,0.013046666666668897
69.0,0.009117848655003214,0.0
70.0,0.12354914046791118,0.019313333333335927
71.0,0.02158473229634419,0.0
72.0,0.010261759481688221,0.0036800000000008827
74.0,0.0016331283655828615,2.333333333505467e-05
75.0,0.012014983237170441,0.0006700000000000727
77.0,0.23779145625176937,0.03463666666666541
79.0,0.0007506148316825154,0.0
80.0,0.0320640111729132,0.0018066666666679036
81.0,0.011200623330661892,0.0
82.0,0.10041346455558174,0.010766666666665212
83.0,0.0011346823781902332,0.0
85.0,0.029085996330951294,0.0
86.0,0.009821483937144498,0.0
87.0,0.0007502386837441562,3.333333334012333e-06
88.0,0.017706727579249737,0.0
90.0,0.011574672650207687,0.00027000000000043634
91.0,0.002774634161955989,0.000280000000005505
92.0,0.0034278476986966144,0.0
94.0,0.03235983620285355,0.0008666666666673942
95.0,0.008975567404798736,3.333333334012333e-06
97.0,0.020444486112605256,0.0011399999999988117
98.0,0.25654315774044356,0.2
99.0,0.06442872104690452,0.0
100.0,0.10261242772216979,0.011453333333335347
103.0,0.004078690430682571,0.00031666666666751536
105.0,0.007939657152900606,0.0
107.0,0.011716720628907244,0.001736666666668793
108.0,0.01047955849666266,0.0
109.0,0.037986653822750786,0.006160000000002883
110.0,0.0014666690443791116,8.0000000004171e-05
112.0,0.01099887615352444,0.0
115.0,0.004003284515697519,2.000000000104267e-05
117.0,0.01763449398084068,0.0010900000000007512
119.0,0.010514579822295958,0.0
120.0,0.08401490497012819,0.006876666666667006
121.0,0.19709912899267076,0.037526666666666035
122.0,0.0019515971881756428,0.0001966666666703527
124.0,0.008250993216027186,0.0009099999999974288
125.0,0.01780882185643881,0.0
127.0,0.01137300594907492,0.0
128.0,3.862954179276278,3.025354308343825
130.0,0.029966975602632985,0.0
131.0,0.005748976723170748,0.0003099999999994907
132.0,0.2184321132862911,0.03333333333333333
133.0,0.009309854732305013,0.0
135.0,0.01293301848972994,0.0
136.0,0.07055410248017327,0.007066666666660238
137.0,0.0016894611040326152,7.666666666712733e-05
138.0,0.0027736274079921816,4.999999999805934e-05
139.0,0.010549135357852985,0.000586666666667952
140.0,0.0007494618459298306,1.0000000002037e-05
141.0,0.24126068542902313,0.2
142.0,0.0025252765987169206,0.00014000000000123666
143.0,0.0009013627248898122,0.0
144.0,0.0007752994993581022,1.6666666667030336e-05
145.0,0.00996478331584507,0.0005633333333328967
146.0,0.0674851866198126,0.005399999999999636
147.0,0.022895485760427242,0.0
148.0,0.0007531872297505514,0.0
149.0,0.015313445948452726,0.0008766666666663997
151.0,0.0009576469707945247,0.00021666666671080165
152.0,0.03617775342376469,0.0
154.0,0.005307558496088417,0.000300000000000485
157.0,0.15155864802618352,0.026566666666667516
158.0,0.06448396836158235,0.005813333333338353
162.0,0.03097260525735916,0.0017499999999987872
163.0,0.0046718793272792335,0.0006066666666659608
165.0,0.1321358133837517,0.03242000000000491
