HashOwner,HashApp,HashFunction,Average,Count,Minimum,Maximum,percentile_Average_0,percentile_Average_1,percentile_Average_25,percentile_Average_50,percentile_Average_75,percentile_Average_99,percentile_Average_100
9600d8ea0d18856a6f1fa5672306ef55afac8b5e32e956579ab0f1a8c347bf4b,b58fc0a0f39c45c5f49fbb0239646598f5ebf2514eb4adc08c2ae02d362c22bf,37b5b44a20f118f26bafcfe8905236218dbb23c4c0dea3988b0122966dcdc2ef,10018,288,10000.0,10874.0,10000,10000,10005,10010,10015,10344,10874
ce37393cbcb17df1f63cad0fcaab6031cf31d62f3ecb465f251844e742982c7b,c99a45b81073f54424a9dfcb19dc41ed621e986fecbd6d176167e001ddba4029,d0cab6ea2288c490d7bf08607e3788ffd565dd842b54c20e07185ab2027b1f37,145,288,0.0,1355.0,0,0,2,2,9,1017,1355
e333879ea4145125a9e4fd3e202af49410d8fe81983d637eefbc8d0b8d722171,858120e91da58c267679183c8c2b0b65b54839a36318304f594109485da05d73,3087576c57aaf083cab78f15461f8efce6607c2facd3e54f425072a3b2506708,138,288,1.0,1457.0,1,1,1,2,8,974,1457
fca2310ccf911080b19d6e90e80e63e4afdecb3ead06a09bbb3832558ec368f3,f3676eb37576dc5aeaacce9267aa0fc4360ec1e437cf2404a638c57dee55d89a,9ae854de13d40bb9082cfcc9cf9d5832431b5a532ec3d6f56a7705efaa58e8d9,1028,1440,46.0,33013.0,46,46,62,93,1010,8912,33013
c91e30a843dfce0beadf2b658d0dee6f346b8c7d97eeb01b15a710e16dca41d9,07457ad647bcb99507cd7e558946aaba4579a8054421e0623f6872a9e32182e5,e85a8260e660d9b5c19360f58d9c6fa99f95d13f9ea82e43ef1017b20fae1699,583,288,13.0,4509.0,13,21,53,104,962,3560,4509
4a8c839c302c9e4c597dfa52c8ef8db10d082dda343c7792e9b24b3649c029bd,f0e069c2ee97e2e26804686df4dae2e58ffaf5050ca4c84cd55fadeae95429d5,5c598d0743ce77f43d6924465a037e230c59102c6e3764bc08b928fec26d4bcb,1862,288,716.0,3464.0,716,751,1451,1808,2214,3331,3464
6857b3653e75a92d29ceea0bd26abb377c952a363020db543c55e3f6918bc642,6df4bbbf38a053100674eb808a664849de801de09e2bdecef9e84c290a45f56d,fcb999e4b9d8f5487e87f9642cab2bc35adbb0337a949e04ad4e5fd04990c836,0,288,0.0,0.0,0,0,0,0,0,0,0
1e5f2b93256d76bafd67be173abf7aad87a405927a7bdfedd05c17b95e3375a8,835a41a01d9790393487097b456e1efc14f1af9f0dc51272728beaab4503a07e,2a2de38db4cc19a5fce3ea9ce392ba985fd9dce865a7d439c7bfa503f9b9bb90,0,288,0.0,17.0,0,0,0,0,0,0,17
0ea8be71eb59c76830101f59f49cb887fde3c77df381cc854e935f29941ea160,90c86e428ac1bf2dfc3417cb9b6be7fbdcf793f2d2abef984fcb107b3379d923,d7a58e235b0a96b212a91575aee078f5c235a8598c6510710b7a7018904077b9,1082,288,124.0,89386.0,124,140,156,171,203,58762,89386
02efd0a1e4add95efc825c128f60380d488aebaa5655ee2ff5ca81dfbc5f4362,a9ac29f04a93596106f581a6c6eaeedc2e0dc8514c10c7a94085db9e63a8eb98,7472df890869186c3a8d1359f2645c8a7567db39a68bc6094bf40e7384207e3f,19,3515,6.0,5387.0,6,6,7,7,8,178,5387
a503a70be4b0a3c60eefb64e763be527e5bc812db830b1c165aa73fb29be551e,064a08f4586a62b539042e08348c6ab5d316b51fa5cdc63710490b1e3772c99a,d510ee451b72401d226dd6c823be29eb106d9b52a989301c08ada5b3ad5413d8,48,14157,0.0,92924.0,0,0,6,10,16,73,17832
240e2630b11a2a92f624ad8976bc3b8a151a735f62c25df0e9ef6db26ac614aa,4df5177115942bdb51acdc5a5c13067d597f05c2cb170ec49753782c8480c3ad,6d433637d1e5ecf2f34a2de840f21d717b95977a3f8f729870963c4c55586875,189,288,1.0,1233.0,1,1,1,2,178,985,1233
ae7415608b4e2d6b812ea42fcd2ec6c0b5893eaa591dee7bd3de82951c134fc7,30790f1060fa3c6f174954d88639eff038a34ea3fd9dbe7cbcc60d13e3959b9b,e35629fabae6d891a7f1a786d57d22c1ff0600937fc97e3af925534111442682,38,1473065,0.0,2377.0,11,15,17,18,52,143,282
5757ba549b0eadcf6dc05c425c2d36c77a949fa4ac60da932247a33faff82939,f9fa0095f2d705174761ff5a4f7a817319505bd844e33dc661a25ad87a257fa1,3bce912b4f5979abe966a99daca191d3ca5718da7d19abec72de557768eb10ac,187356,148,0.0,295640.0,0,0,203657,215416,244609,287417,295640
e222ea5d40e7765602ba3597bce64f4ca88e7c03ec426542e9e483d4ca5f961f,46715e33862636b53876c8c8c5d49d848c594e85bf2993ae676c3b240939bcc1,58a1dfab98a678d46760208cda5c6417ef8d5edd7b2d0be4db2bc4a19e60cfdc,3,1440,0.0,703.0,0,0,0,0,0,31,703
c21e5054a535517fafc56f185449e08d332c2e9287d6f33cfce5d72b42033c3e,e9074dab7d9e7ecc1cbd0245012f7a80a905d72f6e24d09b3b3d0c1d8137b3cb,35196c9a3cee4e22d988206fbd9c69327d752d7e77c145cea2a4c5babd743855,137050,955,25.0,300372.0,25,56,68533,124411,192179,293093,300372
30a876e80855f9f46187a876eb5d2d39a93fb3d1b9f31eb7d3b2859ee5a90ab1,8f044447f82ae4606a5762193ff61b14dbf25e24a816197e01a73fd8eba1a93e,7ea6943a3283f724c12c50663db0f70b1f95d21e3966c2b10f1256c53053852a,35,3066,18.0,2018.0,18,22,27,30,35,90,1561
944424f818504c8f9e815c82f77b50a45e59a9e17c04209df2db0911a7bb635b,dadd376feb61ffa32034e97b92ed656c6eb519a274617b2cb83779f2ce66b382,d4e7616f11654295fb8205a58aec9ec944560d1e53c832e3a5aa929f49a0c4cc,73,288,1.0,1111.0,1,1,1,1,8,873,1111
46970ac1c7c4ac0a81aeb0af235891b84425400cb1020a8dc88c9c718a964cab,b41a70f761ca61bb5c333739e295838de430c26869d5398ea7f169ab7395eb71,fa021bdf18ab1e12c682f613f8c1900a357a4a7dbc203905b1410c175cbbc125,144,360,1.0,1414.0,1,1,1,2,11,1140,1414
ea942f438bcc45a8e026c84d50ec7115c1491a5c0219b201b3345304dc0a8976,a84bf1f761a125f96352e38629a75144992d0ebdace85f9eb8c17c6c2c1f4881,64ed5f699bdba800098055d974043d9aa0ad9783013ff4ad4a305b5d8f0a9b55,121,288,1.0,1599.0,1,1,2,7,13,1388,1599
f0417cb85bd1c751561867f042b6623bc7885e27669a11bc7f9a64dd7d3e4eb9,6ed1fe596cc506bf49e93917753dc4e6678eac18f3cdd24fa3d102dbb6636d5e,ad94fccfb7231a5315979f53d958b3303e736be335925c12bb241bf2c7f07738,2515,720,273.0,28001.0,273,319,514,703,2650,17102,28001
b07cea3e28615420c1d03417ef9e4012548d3300d89c6ea823cd7ce73f3b93b3,08ff580931118eafdf5a32a9ca87d99f62bdd0a1f7c17f324727c5d7631d759b,bd14252126c03fd237d92652b2bfd7a8eb82914a23162da6143c6da5c5e3ac64,75,480,0.0,1588.0,0,0,1,1,3,1012,1588
b602a90cb8ff998be304c3b3c0d755ae638062ca83dc4fe237cda67a2a1899f0,3d7322c54ad4c156f573c247ae7addef21e87b588712204d439465358c03d3bf,6641a525ff49a5a47695d10f2347760569aac6a94b442ecd0b9527f9367d67b5,30,720,3.0,1558.0,3,3,8,8,9,848,1558
97cac0576c1545d895cd50cc96835fce3d43b42caa42c32a9b3814bd678ab96a,b20f1f81af25ddcc12132f8185c60a6b7171d60695d9eda0236808ca68a3f187,f0b843dffb726230cdd2a1460e92ce25d7964cbad920609d670d71a6bfdaff6b,27,1091,4.0,1684.0,4,4,9,13,21,338,1684
2a8d0d6fb8b39cb289219c3f563160bdce01bdd7db3456e80f1adf5c1e265ef2,17f731a7775100f919a62d2070de62fd7accde2523a1460323d8533e1259bad7,7dcaab21e121a10e33337937f7d2245cf0782ba6fb0b44d839665093b4bd6ebb,90,175,11.0,450.0,15,15,57,80,108,296,395
8509ee974d1c344a8e7874505e069136c560b2e2b0ebb944af39461bb952a8db,7dfc273a0020316d504c94d1b4e8b4a132f123aa359211538d4ee583db64e11e,76b883fbce5dc1b8c3079f9b457b35bb3eb9418e4fa393fac9d11189971f643b,478,480,5.0,28162.0,5,6,8,13,176,5585,28162
2b0e28872fda704d8b39566429ae8336cf2e1a56dd9589b0a1eb3f5089a6aa78,a812829185d03871c83794d2cba4a19414e70bc739e99a7cccf8e92b691ee061,9e3016e5f20ebcd038615e1f4a9c3ce93357108470857c972d3a69875b419bdc,4095,288,1656.0,300083.0,1656,1717,1949,2199,2795,17732,300083
9f0c09fc065ea484418928bd5c77fa66383fe672449fb6f9fa1bc88162294279,6cc5171af55c170c1fb732b85ca7120a6b5d9d4929bc28feefeb4821b230d529,baf710add7ae105a369dd4aac18105bd1909aa3a5ee44b628d217bb8bfec793c,3691,1440,574.0,78253.0,574,591,1080,2835,3958,20988,78253
2f565ecdacb965c9af1e89c824ba1af6c5176ce702a83b8a5259bf1c51bf733e,f42387b15e1c9e6bb628f12c1c1c6246327020089421072330cb0ce74a03d5ea,b43822cde720527d4835d54c771299180c5973f97d7709d4447dbd2e588e03da,33157,411,124.0,57424.0,124,30025,30360,32191,35295,46683,57424
a13876e7f5f1150478cae3c59d1924a385e62076dcc68970cb55df18ab72c969,0d5134c5b914e413573a538688676d188b6acf2b2d090253757029a816f87cfc,0f6ad4a21372a0c1c319392c078c4eb047f709fb795876869258aa3474b6e191,9087,60,6923.0,16162.0,6923,6923,7374,7816,9752,16162,16162
f4d40f8b2840cab29e37e27533832a01698ca3002f23263522327a811a146787,e540544702ab59593ee14045c9e194bd3c01cb6cd2e9ec67a6780cdc43e0d9b3,d49845a95d0bdb714b87dba0a7e4fd9fa7c5e9fa0e7c45d2ceb5d22e2d9753ee,196,6,10.0,606.0,10,10,97,139,176,606,606
6c10326cf10b75d6fd0a586d896d195e1ad7ff52d20bd92342783b550e45becf,8ce7938e8939815e83e5a6b8db0eab6ae6e103a1772f8de9c5115d171db6d251,385b673840001e318e7be10fe52c60d3391d92199d00c90eb601cc3fec223070,1883,1440,171.0,25109.0,171,265,690,1059,1778,21283,25109
783f7b9350ad2e6179415af42c0900162dff0480f2c2de9e6b272cd42dd3dba9,811724ff2d2182eae1ff2531056774d9e7074c90acd846c634827bf8e1760623,a0eaa0753856fb37e2babe5f91a30a929e75f874a4c8502bece7b86a9357f0ea,10,1078,1.0,572.0,1,1,3,5,9,127,572
2df3fa8d00c8887584b210d364175fb6bbf72b4aaf048b8e460be7474735b800,c34dd4499a22a2bb40b64b75d4ad4ecac95dd7e39f76801c6d1686468c4b6c41,c01ab87f4b679c009a32865a330d9292550ac0f633e5eeb9c62843b52472ef72,10004,228,4025.0,42165.0,4025,4496,6247,7758,10531,37232,42165
6c3d59649e35dbb123096085713161551af4fd6da6396ae73e9fb5da0c7d68db,215f4b669020102ca54d8a5d7f6bf45fd25bb2a90ce9dc6f37784518c5936e72,e4c9b86e49fc4881785f57664c7080bfe0cbf49fb876216af1214f227685cb15,119,289,0.0,772.0,0,0,1,1,8,766,772
d041717599862ce91a130143645624f538885be9aaf91dfaa058561ee47cabb4,f12187927c6c6c3aafa5f40439b207d48f5f70bc298d6f7978faae28c1bb4679,40b1d1951d7ae07485bb2da35da33de7ebd449ea103d99312d4f2656af3a828f,684,138,32.0,4968.0,32,35,46,261,466,3448,4968
ab7afd7b4089648053a27af9ccc9f1e9a2a7c44a74afb6f1fe7424173a39b877,1ba7729c8221805807413556a05de7d2f1fcedce3e488cf92cedb5ef23f845e3,b8e9dfe814b310793e16d8efaabb0bdc69677f047ff43213898a5d9b7fc25e90,268,288,20.0,2063.0,20,20,37,101,182,1910,2063
5118c8d5899b8d93ff8a913e0060bae7ed2862bdfc62db6992dca15bb36be4d0,292f85dfb2bc41fdbb0740db045665a104396a483cf8af652b4b497c208d5397,3d475afc74b1dc4a4e222d7dede4ad9ef88dc1b18f1fec5ea95957033090e93b,54,1440,15.0,1558.0,15,31,46,46,46,171,1558
cfba776c81103080119c74c578b5607a59416bc3363f52627f85aae80546077e,9419f11c20c6043c1591ecce56e8cea6301e1c0a582b22066526c09213e91964,e975d822ac93a2cdeead8eec4978520cdaaaec6a85612f839fdc854ce6475b38,1792,288,114.0,86752.0,114,129,182,313,784,63479,86752
ab7afd7b4089648053a27af9ccc9f1e9a2a7c44a74afb6f1fe7424173a39b877,9e2cf6ee9c55c02e1f9d2e3cf78f9c9363a56bcb85a3d6f6a2702d6934248dfc,182c44f29d261f67e970881c0a8d950d44011aad156a68f30e6d27f59ec5b119,331,288,90.0,2831.0,90,104,132,147,205,1722,2831
efd511e7a6bb48fbff316406582068e230ca1ce80e7bfa67cf2e398acd43cb35,7bd7e2bf570cbfd6ebd72c628aa8bff1fc9627b8052d8960fd94609af575d663,cbb155892986a500d75907ab964bf26e67caee4e2fee16607e5e36a558c7c07d,26,288,0.0,1099.0,0,0,0,0,0,1008,1099
f96e634eb2b18b9b608122195770dcfe4cbc000ee90e5c967940cb71cec002a5,731cb2669db506b18bfca33c1fe8f63a1bf8ed671bbeda51cd18ad783d2853eb,07f58313aa95ffc4d64c9a6a8967a8a6adb416d6b2caf430c21b22378af1e525,933,720,17.0,12037.0,17,21,60,858,1090,5558,12037
