HashFunction,HashOwner,HashApp,SampleCount,AverageAllocatedMb,AverageAllocatedMb_pct1,AverageAllocatedMb_pct5,AverageAllocatedMb_pct25,AverageAllocatedMb_pct50,AverageAllocatedMb_pct75,AverageAllocatedMb_pct95,AverageAllocatedMb_pct99,AverageAllocatedMb_pct100
385b673840001e318e7be10fe52c60d3391d92199d00c90eb601cc3fec223070,6c10326cf10b75d6fd0a586d896d195e1ad7ff52d20bd92342783b550e45becf,8ce7938e8939815e83e5a6b8db0eab6ae6e103a1772f8de9c5115d171db6d251,21668,15.88888888888889,13.0,13.22222222222222,14.88888888888889,16.0,16.77777777777778,19.444444444444443,21.0,21.55555555555556
7b80158ce68678bfe20483fff2d9fa16498b4315778dd410d63d3e4f98a21c1f,165020cb56647dbe09648da8ac27c6ab8091de48ba970a06bbcccb3e5cab7fbd,1201344c9805035124725c3b5113b00b197fe9c9acf3fe10eee3fb03cf813545,323328,48.0,41.0,43.333333333333336,46.0,47.333333333333336,49.0,66.66666666666667,67.66666666666667,68.0
182c44f29d261f67e970881c0a8d950d44011aad156a68f30e6d27f59ec5b119,ab7afd7b4089648053a27af9ccc9f1e9a2a7c44a74afb6f1fe7424173a39b877,9e2cf6ee9c55c02e1f9d2e3cf78f9c9363a56bcb85a3d6f6a2702d6934248dfc,17237,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0
6f4cfac06dcf33012ed7a81dd70f35507e348d6b1d337507385aef8c890e81ce,8c221906a641b9edb97de8a063644d1dd14413d937ae6b335c6dc1f39afebe01,a276948d19284f11116c5c7b384d40a1f711e8a3842a6eae75e4957e2436be7b,5993,112.0,97.0,108.0,111.0,112.0,113.0,115.0,130.0,132.0
86c2b877748c419a42436013a4e81f605588462a4b201ea6929c49f66a250b1f,129a5d67ef193448aebb0e1b629df6574d3090f517b6c0dbc76da8b6af0ce07c,7105f28f6aa527f1b7a2a1d5ba4d90eaa0c174a9a177bcd19593d5f8bae8e85e,17232,98.0,94.0,94.0,95.0,100.0,100.0,100.0,100.0,100.0
cbb155892986a500d75907ab964bf26e67caee4e2fee16607e5e36a558c7c07d,efd511e7a6bb48fbff316406582068e230ca1ce80e7bfa67cf2e398acd43cb35,7bd7e2bf570cbfd6ebd72c628aa8bff1fc9627b8052d8960fd94609af575d663,75235,14.3,11.9,12.3,13.2,14.2,15.5,16.9,18.3,25.4
b8e9dfe814b310793e16d8efaabb0bdc69677f047ff43213898a5d9b7fc25e90,ab7afd7b4089648053a27af9ccc9f1e9a2a7c44a74afb6f1fe7424173a39b877,1ba7729c8221805807413556a05de7d2f1fcedce3e488cf92cedb5ef23f845e3,17249,210.0,210.0,210.0,210.0,211.0,211.0,211.0,211.0,218.0
d4e7616f11654295fb8205a58aec9ec944560d1e53c832e3a5aa929f49a0c4cc,944424f818504c8f9e815c82f77b50a45e59a9e17c04209df2db0911a7bb635b,dadd376feb61ffa32034e97b92ed656c6eb519a274617b2cb83779f2ce66b382,17237,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0,158.0
d09d0f1326d80c0fc9c9338acb4364482c7399496e23ac0283c2edaadfe9ca48,8ce3583b176620bf423baf93705b2f8ab4f901d26d15ddd27175e0043b7f061c,8cfff8f1a4cb10dbf022c251bf12f03e7c69cf452c14e243b1b5bd3d8d32fa9d,1228,183.0,158.0,165.0,171.0,182.0,196.0,205.0,210.0,219.0
9ae854de13d40bb9082cfcc9cf9d5832431b5a532ec3d6f56a7705efaa58e8d9,fca2310ccf911080b19d6e90e80e63e4afdecb3ead06a09bbb3832558ec368f3,f3676eb37576dc5aeaacce9267aa0fc4360ec1e437cf2404a638c57dee55d89a,17238,13.2,12.8,13.0,13.1,13.2,13.3,13.5,15.0,15.1
