HashOwner,HashApp,HashFunction,Average,Count,Minimum,Maximum,percentile_Average_0,percentile_Average_1,percentile_Average_25,percentile_Average_50,percentile_Average_75,percentile_Average_99,percentile_Average_100
9600d8ea0d18856a6f1fa5672306ef55afac8b5e32e956579ab0f1a8c347bf4b,b58fc0a0f39c45c5f49fbb0239646598f5ebf2514eb4adc08c2ae02d362c22bf,37b5b44a20f118f26bafcfe8905236218dbb23c4c0dea3988b0122966dcdc2ef,10018,288,10000.0,10874.0,10000,10000,10005,10010,10015,10344,10874
e333879ea4145125a9e4fd3e202af49410d8fe81983d637eefbc8d0b8d722171,858120e91da58c267679183c8c2b0b65b54839a36318304f594109485da05d73,3087576c57aaf083cab78f15461f8efce6607c2facd3e54f425072a3b2506708,138,288,1.0,1457.0,1,1,1,2,8,974,1457
fca2310ccf911080b19d6e90e80e63e4afdecb3ead06a09bbb3832558ec368f3,f3676eb37576dc5aeaacce9267aa0fc4360ec1e437cf2404a638c57dee55d89a,9ae854de13d40bb9082cfcc9cf9d5832431b5a532ec3d6f56a7705efaa58e8d9,1028,1440,46.0,33013.0,46,46,62,93,1010,8912,33013
c91e30a843dfce0beadf2b658d0dee6f346b8c7d97eeb01b15a710e16dca41d9,07457ad647bcb99507cd7e558946aaba4579a8054421e0623f6872a9e32182e5,e85a8260e660d9b5c19360f58d9c6fa99f95d13f9ea82e43ef1017b20fae1699,583,288,13.0,4509.0,13,21,53,104,962,3560,4509
02efd0a1e4add95efc825c128f60380d488aebaa5655ee2ff5ca81dfbc5f4362,a9ac29f04a93596106f581a6c6eaeedc2e0dc8514c10c7a94085db9e63a8eb98,7472df890869186c3a8d1359f2645c8a7567db39a68bc6094bf40e7384207e3f,19,3515,6.0,5387.0,6,6,7,7,8,178,5387
b602a90cb8ff998be304c3b3c0d755ae638062ca83dc4fe237cda67a2a1899f0,3d7322c54ad4c156f573c247ae7addef21e87b588712204d439465358c03d3bf,6641a525ff49a5a47695d10f2347760569aac6a94b442ecd0b9527f9367d67b5,30,720,3.0,1558.0,3,3,8,8,9,848,1558
a13876e7f5f1150478cae3c59d1924a385e62076dcc68970cb55df18ab72c969,0d5134c5b914e413573a538688676d188b6acf2b2d090253757029a816f87cfc,0f6ad4a21372a0c1c319392c078c4eb047f709fb795876869258aa3474b6e191,9087,60,6923.0,16162.0,6923,6923,7374,7816,9752,16162,16162
efd511e7a6bb48fbff316406582068e230ca1ce80e7bfa67cf2e398acd43cb35,7bd7e2bf570cbfd6ebd72c628aa8bff1fc9627b8052d8960fd94609af575d663,cbb155892986a500d75907ab964bf26e67caee4e2fee16607e5e36a558c7c07d,26,288,0.0,1099.0,0,0,0,0,0,1008,1099
f96e634eb2b18b9b608122195770dcfe4cbc000ee90e5c967940cb71cec002a5,731cb2669db506b18bfca33c1fe8f63a1bf8ed671bbeda51cd18ad783d2853eb,07f58313aa95ffc4d64c9a6a8967a8a6adb416d6b2caf430c21b22378af1e525,933,720,17.0,12037.0,17,21,60,858,1090,5558,12037
d61f941f624ea4a33f5f76f2b0ed748d382b56e518ed2e900c6fd63905d92b7a,ba35a84448835efcc4539208989259c90935737e010d3d8e2293f97c4ab8ba72,d666f873289af339842ec02fc2c984077f78dea7c7c23aac034b4c33492c8557,4635,96,296.0,20272.0,296,296,546,1942,7334,20272,20272
14a9dcab295ce83ab3ef0bc73cf1e6d3c1241007067bda7bafe64c3f6877baaa,36119464191480d8182c3431ca6d11688d6d72b50b6f72ec81d8f2ed9cdeb7c2,d2feb9b9d434e30df24e30888d819b1913a2871bfb28c9f9aedf7f142f336350,9562,1,9562.0,9562.0,9562,9562,9562,9562,9562,9562,9562
06251669ac5f2e14073bdc770578f97085cb4a623838a7a530b91351170d02a0,c0dbf8fb69a23368affc2747834d6dfab9cdaaa7e1dc3a28d0c9888c12b89b81,64ffa759cc1fbcbd935b96d1f6b182ebd12f648a6a9783eb7a676f18ca86b98b,2291,50,828.0,7053.0,828,828,1234,1799,3048,7053,7053
30422a46bef1badfbf433ec88f7b93b6c0b4468ed03a646c342bcaed867d6034,bdf65506ab689c4d81ff909c6a021d77163b0e616fa4cefc8b61443827dfb443,c1343fb5b3b7294034c8170c1717f0c22c6e6f858d00055db8f15ade216ddcab,813,1,813.0,813.0,813,813,813,813,813,813,813
d906c244adc52b6fcb91495f0edf4841d67e0e257c90f4b140e5dc883644c097,d0c0307ce95c64bc5bc716aca3be6d75362001f49340eeae14c16eb17d0df249,a6b82195c5ff2c9ba59953c48ffe25d9ec092fb4874e0c3b23db18cc53c281d5,4,11483,0.0,1239.0,0,0,0,0,1,191,751
7acadb310f118ef21fec404097b3c6ab094cc949e922c7c12acc9f77b0ab22a0,d6c57e141ad0f564842c925b294ecaeee27cc45e9e40b751c49dbd6f08473aa7,3036a9d0dd2d44c4de43dce4c112d0e8ef9ddd449a16ad51d5fae474f0f1dd29,29,1440,11.0,593.0,11,15,15,31,31,93,593
52ca2abb2c7d0464eb2029bf916e3690101405232e1182d4192dd6deb4190314,5c956aeddb49fa66f17f869b76250c5ff320ef0739598801e44ead10037bf24e,f669c9b3a576cf77cacf779c3f8c2bcaa58b5f14ccca0da64d18b6682ea9563c,9762,3,7575.0,12194.0,7575,7575,7575,9518,12194,12194,12194
4c1f2984bda6872027cdb182a8fbb059c25ec2ea2ae3a43ff2d57b719db0be2d,127ee2dfbd34efde36de38259b6e40e441dcb99bce64a477c090875a79ee63e6,b47507e195b3c8c280d0d04cc6e1965867e883289a75fc253234d41163b6d6f1,9361,145,356.0,300038.0,487,507,677,859,1296,300021,300038
15b0709658399d207f915d89197845a7c9619e6bce323e782d56ba1fbf52e8e2,541cacdef41a43ba09a99ee796820ab7f7a2c0aa56d85d884decbc67e49730ac,9fcbb1f65b7a4ab879a8d859539143d7df744dc002064a1003dc71d4f13197ac,2813,6,2686.0,3106.0,2686,2686,2714,2751,2840,3106,3106
7770498d108bbd395ef78d7b015138646a4d2360189017bb2005b57ddc8aa49e,57306ea8918aad5423bd2f6891b7899294f6b04baa2ce3afbf1459f84a91b15a,2439e79ea1cbf793d2004e6f9f03e057fc31a56d83cf45cf732460daee41ddf1,5183,7,808.0,7442.0,940,940,3766,6297,7126,7442,7442
06bb4e584e07bfaa66a43376f8f76d5be3906aa10f964fb24acbc76c244e0037,46b015b17d44b6b5f15c94f4b4505f9993d60a5e4032b31507498351239ff085,1864aed1c7d8fdbfbeb4540aa11c9f7adafab8767ce9cd6bd9909eb2b60ef391,6,558,0.0,78.0,0,0,0,0,15,46,78
4eabe712f5f72734cbf87046fd23481de28afb719d71dbe920ef652db5fb5573,ca9c1e54e414962b76b36a91f1234d274ae796a93c791a5ed9c084e406f456eb,b994a25f7089c3526f3355e0ca8c83e5b98da9e2447e2a9465c57f745418b02e,994,1435,62.0,32115.0,62,78,359,515,720,6512,32115
043f26684f3fe3f9d80bb818cb3e1d9a6fe4091f32871a97922aad22b0a6964b,9574efff3e7a2116364d65c3e3f153b4e5b289b65ba9f385444e6b26975f5307,44b3aa48ab5e26e5fccf0717e01e63357c33c19f1710149d83857d17ac3629b8,785,288,85.0,4103.0,85,90,135,729,1091,3663,4103
ccf51e739dcee171d7dc761377862013eddef063ec504312480a09d6344f8db1,ed6a23c1f68c8f3a8ce58a56ac39808948c1452cf6026117d2dcec26904fb0c6,6cc26783660ae5cb81bf4ab81a3e84179653e60a7133bffbab489c6c9e1a7427,4562,479,12.0,70333.0,12,15,123,2872,5697,51076,70333
fd8a2430aa1d1b6fb9e059ff6268eabf8bbd77e68a6d5f38195a67820149b0ab,ead6d007019eeb194a900e73572e536aa814dda08552efbda8157de6e35e0a8a,326b0a304c0dc43dce757408d9570c09d66167e73a4dd2c426ed9e13f585037c,87,576,15.0,7723.0,15,15,46,46,62,328,7723
95dc325a4a22f2d6368e04c54265752aad1ef0207cd08ed2ffa698403f3c30b3,8ff155ca64675790a6a328868b7034999001eea2227ada86db8235c6f94f9eee,b933b6af1d1445e853d2c927e692edea2ffb45cb598be36af5db1574f6c0f5ef,124,1440,29.0,493.0,29,62,93,109,140,265,493
5a188da878112f5e561cb799a8f8c139f842180697cc5c3aaeadd0fefc45906f,08d3a654794cf1c4b124c05b90f7a267d564a9fa8acbecdeb0342e4e55b412d6,b7c64bf8a681381d7c6913a75d1c58030fdf787c04b09ee79d425c972ab19989,95,1440,0.0,1001.0,0,0,1,1,1,967,1001
435402991b3d4f6fa58a142b1135b696621167589cee02ab80f732e63a17e752,9382c1aaa07f9e63efca184120ea83d18d5b976b1572ad22d908ab9e4d9aaebc,34ff74cd17b94e0948e550f0f592abb067300b4d0a562e2666330bedd4ad8b8a,23518,24,19425.0,30748.0,19425,19425,20256,22445,25954,30748,30748
e66d525b0b03afec69f923e2a2e0c2bb6476d4d4ea29ab09dc45ddef51d06b31,11d8ead2e03f672be375efafcdca088433ca29b6e9ced39989cb8e71bfa2c974,eb919bc54f8f84ba295e3a5624517d1ebd3d6c85cdc69352f121834702e026d6,442,128,6.0,6233.0,6,6,15,32,338,4060,4140
9edb01447605394005664fc11c299d95f608c4b5a9ee3077fff8aa2903bc8147,aaac1885a327e11e8314a9593a45cb7fd31005407135a37a99dc5a0e2e9e89ca,f5075844195b9181425b7e033558f92dcf70f712b99dc93b8cb55a6054c0fbd3,5,40,0.0,29.0,0,0,0,0,9,29,29
f92425b09ca258ceb7b6fa1698242eb2bfb06227494ea98bef83ad4e33ee0201,0d255b3bbb644c12363e9ed270f79c6fbff87f3b5c5d38f4f04e07f6282d0b1a,e52647e6ac60a627a80ccfd15f2d222535dfc8ecb3c70c3ce8ca7f222c662cbc,281,3,22.0,452.0,196,196,196,196,452,452,452
c25061a98a0cdeaa3641a41d0562fb7132b16aa357d5294d9a60db667fdab169,452b081762a85e5b64ed76ae449f8fcb4995a335d76d69c2ca376154fc167483,c9f6e8187913cd6e2d668a249f4167041b6376b05b04ecf226401ae993617e57,1258,5760,1045.0,3701.0,1059,1087,1176,1225,1297,2054,2474
edfecd92a50a0675d4f74b6fd763848b70c3cbaf2287b454bc1da9ce8d855759,f641fb42baa41e13abc542a808f19a2c4109d6f8ff9877272824e62b9b9eb08e,a458ee86b9c4d6abafbe0f267b89b51e15cf32c581b8a846c06035dfbac57b05,326,83563,84.0,100066.0,142,156,228,289,382,824,3893
d49a91b96452c8102c4d2f18647f0503f5bd78c8d9110c60795654c58fbc4fea,8e2c2c8497cab91ae22f6d3fc74a5a749130445d0548e8f45368f3fa31b5a5f8,b3543c1d08ef66ff13e0df698e0e9615e4a497ace232c3715779151427fe15d5,147,159519,74.0,41773.0,80,99,113,123,139,473,39915
79ed09dc514b430b7a440f405147ce153c4fcd687e8107ea83eda40e4cd0d604,375444c8e9740af42002573e73ee3ba4963e43182bdace1156011f99adff1be3,b2b015b52e674b908b7f7333706efd5b9532a4ee853d95ce6e9b0bedb66c8d8f,50,1430,15.0,406.0,15,30,31,46,62,187,406
0c9829ac2082a564a19d0ef920cfd576aa050fd693a34c2bfb695f64a4816255,b6ee2c3328157033a45d6ec555d27485f6d34917829ea3845a75422bcaf5d973,7c56374fdc9052612ffcf0a8391ad64c96cd82394e9052b0b1035001ec0686d9,2,4338,0.0,764.0,0,0,1,1,1,7,586
d27faf5a98d40a6ba2ff08c0063b11ef34993c5f29d2f8d69647d043c3b4b26f,5d09e27dfc4fb33e20bb4a01737ed8148314936daf691d3574e528dffdba797e,4cd72352e1dce1401011a52a6df4bcab4d3d3f6bfed28f7bddff264335575e01,1350,24,907.0,1809.0,907,907,1202,1328,1535,1809,1809
fbb5f367c581476a53a186c0b542d146073bed7a0d84567b10077bc3354a3cf0,ed41bf82dc3ad660ebde799fa9a845e193bd32584d895f5b5a76609211485c38,8e1c086aee554e25a173030d11cbcd0596d3a1ed498a156e1d3fbb6eade79d4b,109715,96,71355.0,186515.0,71355,71355,83429,107167,128849,186515,186515
75332cfa303ef7f7367c7f8f9aa7c9f5bc446fc04993a26b1e67311378690cc2,5a65d31612d1081353bfce359690d9e58e5c78032f4d1d2895092fba6ee9983a,9a060be202faaff1529a7c47e4ceb52309e58c2973bf2d813338113be88dce58,12394,24,1031.0,100558.0,1031,1031,1328,1766,21536,100558,100558
85d593148f30200455e483fc5f4957e2b778bb5227a9daba3b7a44e591051967,f120311511a4af60d3844ff0307bda8960e495fc5951e5ef9e8d1280f45196c3,23e6eb269f4b8f405d773bd5e2ea24df2a6685287cd123c1a23717f85c9fd58e,51,48,0.0,754.0,0,0,0,0,19,754,754
81d0305d84dd2d59ddff2598ecf943c11ecf5f20b4e00abab52bbae6ca7ef1bb,b60f461c94536df93a665a13f7fec98212fbcdcb84360212459568fcc7bf20d3,500cd5c22e9da3649b92a17c51e0ab62bcfcb5031bcba4173dc31341d3455264,92548,18,17300.0,218649.0,17300,17300,49010,59403,147073,218649,218649
940fb522ccff70261e5d0604347fbbd8ef84bdfd6a06643333b67de0a076e43e,22f463b12def99ba6114261f1a8c1f690382c0ddd9d8bf2655bdab1a1b7f5fc8,13f0cb511f20881e206b21f1d4d6dd05f3b3653eb24c581b897419b8e170652d,52,496,0.0,11645.0,0,7,17,21,31,319,5845
820199652539a5544782c976b3bb919b16daed14e0e25fe1adfd7a534ffe81ac,1a29a2035e8a4cb1a23c2042d1beb863d0cfe92d87201149c479ce5c44a04a27,bdb916ec0cc5fd7408fd775a54ce630d55b75ab5903a4070306a86ca768fc515,818,111,15.0,5068.0,15,31,129,279,1081,4891,5068
0ccf9c75230e308d25ee3e768f8587aeebb410430a9ae66c5675996974183120,361786de5317c64968b2f5587915fa47efafd299dfb7f905e72037844885be05,4c355dee202e0f37927c55ca3e41c51b29d3b41f3ad0e17d36f3fbeed2228f76,67,30,11.0,371.0,11,11,31,46,73,328,328
c36f718c7130444ea56a6b1d68584a7de62b99e51e6a468edb6eae6364b01eb4,9c0157b7d8184c5738a4c715f6d05a9d5c025c693ed99526c4213d1c83dfd1b6,2db4e89bd5b387e1c0389d78266593db7298778be7ef9f2c9b8170c5c374cf36,147,13,6.0,1497.0,7,7,7,14,61,1497,1497
9f699419c6fd3f4a4047457a409fa381b43bdbd90c23078026f7e74c63b86587,33dd46ec09a19904c9754297a166fefc36bd3f2ce2e844cf40f6685e2215eb72,9df62206272ccb8c60714aa8b1c4b045f2092e29a0704237dc19e900d1c41d07,1562,1,1562.0,1562.0,1562,1562,1562,1562,1562,1562,1562
c315c5c56795b745589b4e07f250e04fd4c12623e5c6f612b2b276174813bbfe,8e062a005b971f6afa334e8817d583b9ddff11028eaa05ec4e38c6783813794d,255cb5efbe7324f962aa4b03a65882f521a8efad515c486e7131dab83e7867ee,317,450,31.0,2129.0,31,46,108,154,315,1670,2129
51e8b401023bec5609fabf67b7f3c24d4704a969fd073f40879635dab4bea90d,ea429ed7bbf3d7e5e1bed106f7488252759b8fa26f3110b560f7c1e94b37eeb9,9ee34f939f0ebc9e6d3b7cd4dc07814107c10d794a83f2abbe1229883b00e8cc,241,288,57.0,2129.0,57,58,96,111,128,1991,2129
7796dd2955b15ab4f52ee7697f6bafb6be1cb98e0b3e38291f430b7540b42ac8,63ee3829952ee6dd25d71218f013e9c9b92d0557c4684e277d97821ca1ac1359,04b627af70418d4fc6ee75093a19aa938b807fb3ab4c22250dff5660f5df660f,837,288,31.0,217576.0,31,31,46,78,93,265,217576
0f5e1fb1f7f9eca79fad833cdd501fc3d21c01a113cd3d9dc2b3b468970aa864,c9f5c6850e40b74fe5097e420069b92185e13488436d2eba7d6211a8c01da5a8,a27a9929c5bcf9fd535415a4ba03eabab5bef7760ce2266978a34174536e3b06,1663,287,1312.0,8815.0,1312,1318,1405,1456,1585,5012,8815
