HashOwner,HashApp,HashFunction,Average,Count,Minimum,Maximum,percentile_Average_0,percentile_Average_1,percentile_Average_25,percentile_Average_50,percentile_Average_75,percentile_Average_99,percentile_Average_100
fca2310ccf911080b19d6e90e80e63e4afdecb3ead06a09bbb3832558ec368f3,f3676eb37576dc5aeaacce9267aa0fc4360ec1e437cf2404a638c57dee55d89a,9ae854de13d40bb9082cfcc9cf9d5832431b5a532ec3d6f56a7705efaa58e8d9,1028,1440,46.0,33013.0,46,46,62,93,1010,8912,33013
b602a90cb8ff998be304c3b3c0d755ae638062ca83dc4fe237cda67a2a1899f0,3d7322c54ad4c156f573c247ae7addef21e87b588712204d439465358c03d3bf,6641a525ff49a5a47695d10f2347760569aac6a94b442ecd0b9527f9367d67b5,30,720,3.0,1558.0,3,3,8,8,9,848,1558
efd511e7a6bb48fbff316406582068e230ca1ce80e7bfa67cf2e398acd43cb35,7bd7e2bf570cbfd6ebd72c628aa8bff1fc9627b8052d8960fd94609af575d663,cbb155892986a500d75907ab964bf26e67caee4e2fee16607e5e36a558c7c07d,26,288,0.0,1099.0,0,0,0,0,0,1008,1099
7acadb310f118ef21fec404097b3c6ab094cc949e922c7c12acc9f77b0ab22a0,d6c57e141ad0f564842c925b294ecaeee27cc45e9e40b751c49dbd6f08473aa7,3036a9d0dd2d44c4de43dce4c112d0e8ef9ddd449a16ad51d5fae474f0f1dd29,29,1440,11.0,593.0,11,15,15,31,31,93,593
15b0709658399d207f915d89197845a7c9619e6bce323e782d56ba1fbf52e8e2,541cacdef41a43ba09a99ee796820ab7f7a2c0aa56d85d884decbc67e49730ac,9fcbb1f65b7a4ab879a8d859539143d7df744dc002064a1003dc71d4f13197ac,2813,6,2686.0,3106.0,2686,2686,2714,2751,2840,3106,3106
7770498d108bbd395ef78d7b015138646a4d2360189017bb2005b57ddc8aa49e,57306ea8918aad5423bd2f6891b7899294f6b04baa2ce3afbf1459f84a91b15a,2439e79ea1cbf793d2004e6f9f03e057fc31a56d83cf45cf732460daee41ddf1,5183,7,808.0,7442.0,940,940,3766,6297,7126,7442,7442
043f26684f3fe3f9d80bb818cb3e1d9a6fe4091f32871a97922aad22b0a6964b,9574efff3e7a2116364d65c3e3f153b4e5b289b65ba9f385444e6b26975f5307,44b3aa48ab5e26e5fccf0717e01e63357c33c19f1710149d83857d17ac3629b8,785,288,85.0,4103.0,85,90,135,729,1091,3663,4103
c25061a98a0cdeaa3641a41d0562fb7132b16aa357d5294d9a60db667fdab169,452b081762a85e5b64ed76ae449f8fcb4995a335d76d69c2ca376154fc167483,c9f6e8187913cd6e2d668a249f4167041b6376b05b04ecf226401ae993617e57,1258,5760,1045.0,3701.0,1059,1087,1176,1225,1297,2054,2474
edfecd92a50a0675d4f74b6fd763848b70c3cbaf2287b454bc1da9ce8d855759,f641fb42baa41e13abc542a808f19a2c4109d6f8ff9877272824e62b9b9eb08e,a458ee86b9c4d6abafbe0f267b89b51e15cf32c581b8a846c06035dfbac57b05,326,83563,84.0,100066.0,142,156,228,289,382,824,3893
75332cfa303ef7f7367c7f8f9aa7c9f5bc446fc04993a26b1e67311378690cc2,5a65d31612d1081353bfce359690d9e58e5c78032f4d1d2895092fba6ee9983a,9a060be202faaff1529a7c47e4ceb52309e58c2973bf2d813338113be88dce58,12394,24,1031.0,100558.0,1031,1031,1328,1766,21536,100558,100558
